ID,Name,Floor,X,Y,Description,isDirty
bed1,Bed,L1,173,355,N/A,0
bed2,Bed,L1,212,166,N/A,0
bed3,Bed,L1,126,33,N/A,0
bed4,Bed,L1,140,145,N/A,0
bed5,Bed,L1,225,88,N/A,0
bed6,Bed,L1,253,386,N/A,0
bed7,Bed,L1,121,293,N/A,0
bed8,Bed,L1,280,266,N/A,0
bed9,Bed,L1,222,399,N/A,0
bed10,Bed,L1,62,198,N/A,0
bed11,Bed,L1,271,159,N/A,0
bed12,Bed,L1,216,164,N/A,0
bed13,Bed,L1,330,196,N/A,0
bed14,Bed,L1,259,97,N/A,0
bed15,Bed,L1,159,251,N/A,0
bed16,Bed,3,90,152,N/A,0
bed17,Bed,3,249,363,N/A,0
bed18,Bed,3,334,121,N/A,0
bed20,Bed,3,144,266,N/A,0
ipump1,Infusion Pump,3,291,348,N/A,0
ipump2,Infusion Pump,3,118,226,N/A,0
ipump3,Infusion Pump,3,274,109,N/A,0
ipump5,Infusion Pump,3,333,320,N/A,0
ipump6,Infusion Pump,3,369,174,N/A,0
ipump8,Infusion Pump,3,142,265,N/A,0
ipump9,Infusion Pump,3,215,243,N/A,0
ipump10,Infusion Pump,3,367,327,N/A,0
ipump12,Infusion Pump,3,313,253,N/A,0
ipump13,Infusion Pump,3,385,314,N/A,0
ipump14,Infusion Pump,3,380,350,N/A,0
ipump15,Infusion Pump,3,197,328,N/A,0
ipump16,Infusion Pump,3,380,207,N/A,0
ipump17,Infusion Pump,3,254,263,N/A,0
ipump20,Infusion Pump,3,135,315,N/A,0
ipump21,Infusion Pump,1,180,105,N/A,0
ipump22,Infusion Pump,1,118,165,N/A,0
ipump23,Infusion Pump,1,132,110,N/A,0
ipump24,Infusion Pump,1,240,327,N/A,0
ipump25,Infusion Pump,1,165,114,N/A,0
ipump26,Infusion Pump,1,360,245,N/A,0
ipump28,Infusion Pump,1,218,371,N/A,0
ipump29,Infusion Pump,1,141,209,N/A,0
recliner1,Patient Recliner,1,251,126,N/A,0
recliner3,Patient Recliner,1,266,269,N/A,0
recliner4,Patient Recliner,1,116,283,N/A,0
recliner5,Patient Recliner,1,392,229,N/A,0
recliner6,Patient Recliner,1,177,195,N/A,0
